;Участники
0;3
1;2
2;3
3;3
4;4
5;0
6;3
7;6
8;3
9;1
10;2
11;3
12;3
13;2
14;5
15;2
16;3
17;4
18;4
19;5
20;6
21;5
22;3
23;3
24;5
25;5
26;3
27;3
28;5
29;4
30;1
31;3
32;1
33;5
34;8
35;4
36;2
37;3
38;4
39;5
40;5
41;2
42;2
43;3
44;5
45;1
46;4
47;5
48;5
49;2
50;6
51;4
52;5
53;3
54;2
55;2
56;5
57;2
58;4
59;3
60;4
61;3
62;8
63;5
64;4
65;5
66;3
67;4
68;5
69;0
70;3
71;4
72;4
73;4
74;3
75;4
76;6
77;4
78;4
79;3
80;4
81;6
82;0
83;1
84;5
85;5
86;5
87;5
88;5
89;3
90;2
91;2
92;8
93;7
94;1
95;3
96;3
97;5
98;3
99;3
100;5
101;4
102;3
103;6
104;5
105;3
106;0
107;3
108;7
109;2
110;2
111;8
112;3
113;3
114;5
115;3
116;4
117;3
118;7
119;0
120;4
121;3
122;3
123;3
124;1
125;4
126;2
127;4
128;1
129;3
130;5
131;2
132;1
133;0
134;4
135;2
136;6
137;2
138;2
139;2
140;2
141;2
142;0
143;2
144;2
145;3
146;5
147;6
148;2
149;3
150;5
151;4
152;3
153;3
154;3
155;4
156;1
157;6
158;2
159;3
160;4
161;4
162;4
163;5
164;2
165;5
166;2
167;7
168;5
169;0
170;4
171;3
172;2
173;2
174;3
175;1
176;3
177;6
178;2
179;2
180;7
181;1
182;3
183;6
184;2
185;3
186;2
187;3
188;3
189;3
190;3
191;2
192;7
193;2
194;3
195;4
196;4
197;5
198;2
199;3
200;2
201;1
202;5
203;1
204;6
205;4
206;3
207;2
208;2
209;6
210;5
211;3
212;0
213;6
214;2
215;2
216;2
217;4
218;5
219;6
220;6
221;4
222;1
223;1
224;3
225;3
226;3
227;5
228;3
229;3
230;1
231;4
232;5
233;2
234;2
235;3
236;3
237;4
238;3
239;3
240;4
241;1
242;1
243;4
244;5
245;3
246;4
247;2
248;5
249;3
250;5
251;2
252;4
253;7
254;2
255;8
256;6
257;2
258;2
259;4
260;4
261;3
262;4
263;7
264;1
265;3
266;3
267;4
268;4
269;3
270;3
271;3
272;2
273;8
274;3
275;4
276;2
277;2
278;5
279;3
280;3
281;3
282;1
283;2
284;3
285;8
286;2
287;1
288;1
289;5
290;7
291;13
292;2
293;1
294;9
295;0
296;4
297;6
298;3
299;5
300;2
301;2
302;2
303;2
304;0
305;5
306;4
307;2
308;1
309;2
310;3
311;2
312;4
313;1
314;3
315;1
316;4
317;2
318;4
319;9
320;3
321;2
322;1
323;3
324;2
325;5
326;5
327;3
328;2
329;2
330;3
331;1
332;3
333;5
334;3
335;5
336;2
337;2
338;3
339;4
340;5
341;2
342;4
343;4
344;3
345;3
346;3
347;5
348;4
349;4
350;5
351;5
352;2
353;3
354;4
355;3
356;4
357;2
358;2
359;3
360;0
361;2
362;3
363;1
364;1
365;6
366;5
367;3
368;4
369;4
370;3
371;6
372;4
373;2
374;2
375;3
376;0
377;2
378;3
379;3
380;6
381;2
382;4
383;2
384;5
385;2
386;5
387;5
388;5
389;6
390;0
391;3
392;0
393;1
394;4
395;1
396;2
397;5
398;3
399;4
400;2
401;2
402;5
403;3
404;6
405;1
406;6
407;1
408;5
409;2
410;3
411;3
412;2
413;4
414;2
415;4
416;4
417;3
418;3
419;2
420;3
421;3
422;7
423;4
424;5
425;5
426;2
427;4
428;4
429;3
430;2
431;2
432;1
433;4
434;3
435;5
436;5
437;6
438;3
439;4
440;4
441;1
442;3
443;2
444;2
445;1
446;5
447;2
448;3
449;1
450;4
451;2
452;2
453;0
454;4
455;1
456;4
457;3
458;6
459;2
460;5
461;2
462;5
463;2
464;2
465;3
466;3
467;1
468;0
469;6
470;4
471;5
472;4
473;4
474;4
475;3
476;3
477;3
478;5
479;5
480;4
481;3
482;2
483;3
484;2
485;3
486;5
487;6
488;5
489;1
490;5
491;2
492;6
493;5
494;2
495;4
496;2
497;4
498;2
499;5
500;2
501;4
502;4
